"id","title","year","quarter_num","month_num","day_of_week_num","date_published","duration1","country","worldwide_gross_income","languages","production_company","day_of_week","time_period","month","duration","name_id","director_name","height","date_of_birth","genre","avg_rating","total_votes","median_rating"
"tt10039468","My Stupid Boss 2",2019,1,3,5,"2019-03-28",96,"Indonesia","","Indonesian, Malay, English, Vietnamese","Falcon Pictures","Thursday","weekday","March","Standard","nm1345541","Upi Avianto",0,"","Drama",6.8,185,7
"tt10046236","Alem-i Cin 2",2019,2,5,6,"2019-05-03",93,"Turkey","","Turkish","Film Fabrikasi","Friday","weekday","May","Standard","nm6356309","Özgür Bakar",0,"","Horror",4.9,371,10
"tt10076722","We Are Legends",2019,1,3,3,"2019-03-19",108,"Hong Kong","$ 56560","Cantonese","","Tuesday","weekday","March","Standard","nm8986705","Yuhang Chen",0,"","Action",5.1,106,6
"tt10077998","Le Miracle du Saint Inconnu",2019,2,5,4,"2019-05-15",100,"Morocco, France, Qatar","","Arabic","Altamar Films","Wednesday","weekday","May","Standard","nm5893763","Alaa Eddine Aljem",0,"","Comedy",6.6,112,7
"tt10077998","Le Miracle du Saint Inconnu",2019,2,5,4,"2019-05-15",100,"Morocco, France, Qatar","","Arabic","Altamar Films","Wednesday","weekday","May","Standard","nm5893763","Alaa Eddine Aljem",0,"","Crime",6.6,112,7
"tt10102350","2 Gisht Mjaltë",2019,1,3,5,"2019-03-28",101,"Albania","","Albanian","","Thursday","weekday","March","Standard","nm5717949","Emir Khalilzadeh",0,"","Comedy",2.4,447,1
"tt10115562","Chambre 212",2019,4,10,4,"2019-10-09",86,"France, Belgium, Luxembourg","$ 2798530","French","Les Films Pelléas","Wednesday","weekday","October","Short ","nm0393394","Christophe Honoré",0,"1970-04-10","Comedy",6.4,392,7
"tt10122392","Incitement",2019,3,9,5,"2019-09-26",123,"Israel","","Hebrew","Metro Communications","Thursday","weekday","September","Long","nm1597629","Yaron Zilberman",0,"1966-10-02","Thriller",7.5,184,8
"tt10125662","Chhalawa",2019,2,6,4,"2019-06-05",117,"Pakistan","$ 35080","Urdu, Punjabi","Showcase Films","Wednesday","weekday","June","Standard","nm7249446","Wajahat Rauf",0,"","Comedy",3.4,256,9
"tt10125662","Chhalawa",2019,2,6,4,"2019-06-05",117,"Pakistan","$ 35080","Urdu, Punjabi","Showcase Films","Wednesday","weekday","June","Standard","nm7249446","Wajahat Rauf",0,"","Drama",3.4,256,9
"tt10125662","Chhalawa",2019,2,6,4,"2019-06-05",117,"Pakistan","$ 35080","Urdu, Punjabi","Showcase Films","Wednesday","weekday","June","Standard","nm7249446","Wajahat Rauf",0,"","Family",3.4,256,9
"tt10133300","Rakshasudu",2019,3,8,6,"2019-08-02",122,"India","$ 4602","Telugu","A Studios","Friday","weekday","August","Long","nm4195915","Ramesh Varma",0,"","Action",8.4,613,9
